iso3,region,four_region
ago,ESA,Southern
bdi,ESA,Eastern
ben,WCA,Western
bfa,WCA,Western
civ,WCA,Western
cmr,WCA,Central
cod,WCA,Central
cog,WCA,Central
eth,ESA,Eastern
gab,WCA,Central
gin,WCA,Western
gmb,WCA,Western
ken,ESA,Eastern
lbr,WCA,Western
lso,ESA,Southern
mli,WCA,Western
moz,ESA,Southern
mwi,ESA,Southern
nam,ESA,Southern
ner,WCA,Western
nga,WCA,Western
rwa,ESA,Eastern
swz,ESA,Southern
tcd,WCA,Central
tgo,WCA,Western
tza,ESA,Eastern
uga,ESA,Eastern
zmb,ESA,Southern
zwe,ESA,Southern
gha,WCA,Western
sen,WCA,Western
sle,WCA,Western
caf,WCA,Central
bwa,ESA,Southern
zaf,ESA,Southern
gnb,WCA,Western
gnq,WCA,Central
ssd,ESA,Eastern